Row F4:92:BF:5D:7C:63 F4:92:BF:5D:7C:8F F4:92:BF:5D:7C:70 F4:92:BF:5D:80:1C 48:27:E2:84:3C:ED 48:27:E2:84:3D:2D 48:27:E2:84:3D:41 48:27:E2:84:3D:01 48:27:E2:84:3C:F9 00:00:00:00:00:00 X Y
2 -45 -44 -63 -110 -58 -67 -50 -56 -42 30 2 0
3 -44 -51 -59 -110 -52 -56 -44 -68 -56 37 3 0
4 -45 -44 -69 -105 -69 -58 -57 -60 -43 33 4 0
5 -47 -48 -69 -106 -61 -51 -54 -62 -46 36 5 0
6 -46 -47 -64 -104 -60 -57 -49 -57 -52 41 6 0
7 -37 -53 -55 -102 -57 -52 -45 -70 -50 29 7 0
8 -35 -47 -63 -100 -67 -51 -48 -55 -50 32 8 0
9 -30 -59 -59 -101 -75 -61 -43 -53 -59 27 9 0
10 -33 -53 -57 -97 -68 -52 -46 -55 -54 31 10 0
11 -36 -52 -75 -98 -63 -50 -52 -66 -52 34 11 0
12 -36 -52 -59 -96 -62 -54 -61 -46 -55 35 12 0
13 -40 -53 -63 -99 -62 -48 -42 -63 -55 29 13 0
14 -47 -56 -58 -92 -68 -52 -60 -52 -53 27 14 0
15 -42 -56 -62 -90 -78 -43 -51 -53 -65 29 15 0
16 -51 -54 -58 -88 -70 -48 -49 -51 -56 36 16 0
17 -44 -63 -64 -94 -68 -41 -62 -62 -65 44 17 0
18 -47 -56 -63 -91 -72 -51 -52 -41 -68 46 18 0
19 -54 -58 -64 -90 -69 -50 -63 -64 -73 45 19 0
20 -49 -61 -67 -90 -69 -55 -59 -55 -63 43 20 0
21 -55 -64 -59 -83 -73 -58 -58 -44 -60 33 21 0
22 -60 -64 -68 -81 -73 -59 -62 -49 -70 50 22 0
23 -60 -67 -61 -89 -79 -60 -58 -54 -70 34 23 0
24 -62 -73 -65 -79 -84 -53 -57 -48 -67 30 24 0
25 -57 -62 -70 -80 -73 -62 -65 -53 -69 22 25 0
26 -56 -46 -66 -108 -66 -60 -62 -65 -48 31 0 1
27 -59 -47 -68 -110 -61 -60 -53 -60 -49 66 1 1
28 -54 -46 -69 -106 -57 -60 -65 -68 -46 47 2 1
29 -50 -55 -67 -106 -68 -69 -65 -58 -48 42 3 1
