Row F4:92:BF:5D:7C:63 F4:92:BF:5D:7C:8F F4:92:BF:5D:7C:70 F4:92:BF:5D:80:1C 48:27:E2:84:3C:ED 48:27:E2:84:3D:2D 48:27:E2:84:3D:41 48:27:E2:84:3D:01 48:27:E2:84:3C:F9 00:00:00:00:00:00 X Y
221 -55 -52 -81 -109 -47 -72 -63 -67 -49 43 1 12
222 -58 -41 -96 -110 -34 -69 -59 -65 -56 27 2 12
223 -56 -47 -79 -110 -27 -65 -59 -72 -55 27 3 12
224 -57 -43 -76 -110 -40 -62 -63 -77 -55 15 4 12
225 -60 -50 -84 -110 -45 -73 -61 -71 -60 27 5 12
226 -58 -41 -77 -110 -45 -65 -61 -64 -53 40 0 13
227 -51 -41 -74 -104 -55 -65 -62 -74 -58 51 1 13
228 -56 -43 -75 -110 -42 -64 -63 -62 -59 41 2 13
229 -52 -46 -82 -110 -40 -68 -65 -65 -51 20 3 13
230 -59 -48 -77 -110 -41 -68 -65 -66 -53 21 4 13
231 -57 -46 -75 -110 -48 -66 -73 -70 -52 32 5 13
232 -60 -52 -73 -109 -47 -62 -73 -66 -58 32 0 14
233 -58 -43 -80 -110 -48 -57 -74 -63 -56 42 1 14
234 -54 -48 -92 -110 -52 -61 -61 -63 -53 39 2 14
235 -59 -46 -88 -107 -38 -62 -65 -67 -52 24 3 14
236 -60 -46 -76 -110 -50 -63 -65 -75 -61 25 4 14
237 -56 -52 -86 -110 -51 -69 -64 -66 -55 27 5 14
238 -59 -51 -72 -106 -41 -59 -55 -65 -53 16 0 15
239 -55 -47 -79 -103 -52 -68 -61 -66 -64 27 1 15
240 -56 -51 -80 -107 -42 -64 -62 -73 -52 28 2 15
241 -53 -44 -89 -109 -48 -62 -68 -79 -52 38 3 15
242 -59 -53 -81 -108 -47 -63 -61 -71 -56 39 4 15
243 -62 -52 -76 -107 -54 -66 -61 -61 -61 32 5 15
